"nom","p_code","reg_code",
"Antanifotsy","MDG32318030","MDG32","AntanifotsyMDG32"
"Antenina","MDG32318130","MDG32","AnteninaMDG32"
"Antsiatsiaka","MDG32305210","MDG32","AntsiatsiakaMDG32"
"Antsirabe Sahatany","MDG32303133","MDG32","Antsirabe SahatanyMDG32"
"Fenerive Est","MDG32305010","MDG32","Fenerive EstMDG32"
"Fotsialanana","MDG32318012","MDG32","FotsialananaMDG32"
"Imorona","MDG32304013","MDG32","ImoronaMDG32"
"Mahalevona","MDG32303113","MDG32","MahalevonaMDG32"
"Mahambo","MDG32305050","MDG32","MahamboMDG32"
"Mahanoro","MDG32305238","MDG32","MahanoroMDG32"
"Manambolo","MDG32303032","MDG32","ManamboloMDG32"
"Manambolosy","MDG32304050","MDG32","ManambolosyMDG32"
"Mananara Avaratra","MDG32304011","MDG32","Mananara AvaratraMDG32"
"Manompana","MDG32318110","MDG32","ManompanaMDG32"
"Maroantsetra","MDG32303010","MDG32","MaroantsetraMDG32"
"Maromitety","MDG32315030","MDG32","MaromitetyMDG32"
"Miarinarivo","MDG32315130","MDG32","MiarinarivoMDG32"
"Miorimivalana","MDG32305170","MDG32","MiorimivalanaMDG32"
"Morafeno","MDG32303152","MDG32","MorafenoMDG32"
"Rantabe","MDG32303151","MDG32","RantabeMDG32"
"Sahatavy","MDG32315150","MDG32","SahatavyMDG32"
"Sainte Marie","MDG32302019","MDG32","Sainte MarieMDG32"
"Sandrakatsy","MDG32304091","MDG32","SandrakatsyMDG32"
"Saranambana","MDG32305130","MDG32","SaranambanaMDG32"
"Saromaona","MDG32304130","MDG32","SaromaonaMDG32"
"Soanierana Ivongo","MDG32318011","MDG32","Soanierana IvongoMDG32"
"Tanibe","MDG32304092","MDG32","TanibeMDG32"
"Vanono","MDG32304151","MDG32","VanonoMDG32"
"Vavatenina","MDG32315010","MDG32","VavateninaMDG32"
"Vohilengo","MDG32305110","MDG32","VohilengoMDG32"
"Vohipeno","MDG32305190","MDG32","VohipenoMDG32"
"Voloina","MDG32303131","MDG32","VoloinaMDG32"
"Ambalaomby","MDG33317052","MDG33","AmbalaombyMDG33"
"Ambandrika","MDG33313033","MDG33","AmbandrikaMDG33"
"Ambatoharanana","MDG33317072","MDG33","AmbatoharananaMDG33"
"Ambatomainty","MDG33312031","MDG33","AmbatomaintyMDG33"
"Ambatondrazaka","MDG33313010","MDG33","AmbatondrazakaMDG33"
"Ambatondrazaka Suburbaine","MDG33313032","MDG33","Ambatondrazaka SuburbaineMDG33"
"Ambatosoratra","MDG33313130","MDG33","AmbatosoratraMDG33"
"Ambatovola","MDG33314210","MDG33","AmbatovolaMDG33"
"Amboasary","MDG33314250","MDG33","AmboasaryMDG33"
"Amboavory","MDG33312131","MDG33","AmboavoryMDG33"
"Ambodimanga","MDG33312133","MDG33","AmbodimangaMDG33"
"Ambohibary","MDG33314030","MDG33","AmbohibaryMDG33"
"Ambohidronono","MDG33314170","MDG33","AmbohidrononoMDG33"
"Ambohijanahary","MDG33312090","MDG33","AmbohijanaharyMDG33"
"Ambohimandroso","MDG33312013","MDG33","AmbohimandrosoMDG33"
"Ambohitrarivo","MDG33312051","MDG33","AmbohitrarivoMDG33"
"Ambohitsilaozana","MDG33313070","MDG33","AmbohitsilaozanaMDG33"
"Ampandroantraka","MDG33317031","MDG33","AmpandroantrakaMDG33"
"Amparafaravola","MDG33312011","MDG33","AmparafaravolaMDG33"
"Amparihintsokatra","MDG33313192","MDG33","AmparihintsokatraMDG33"
"Ampasikely","MDG33312032","MDG33","AmpasikelyMDG33"
"Ampasimaneva","MDG33317012","MDG33","AmpasimanevaMDG33"
"Ampasimpotsy Gara","MDG33314050","MDG33","Ampasimpotsy GaraMDG33"
"Ampasipotsy Mandialaza","MDG33314293","MDG33","Ampasipotsy MandialazaMDG33"
"Ampitatsimo","MDG33313050","MDG33","AmpitatsimoMDG33"
"Andaingo","MDG33314350","MDG33","AndaingoMDG33"
"Andasibe","MDG33314070","MDG33","AndasibeMDG33"
"Andilamena","MDG33316011","MDG33","AndilamenaMDG33"
"Andilana Nord","MDG33312132","MDG33","Andilana NordMDG33"
"Andilanatoby","MDG33313151","MDG33","AndilanatobyMDG33"
"Andrebakely Nord","MDG33312152","MDG33","Andrebakely NordMDG33"
"Andrebakely Sud","MDG33312033","MDG33","Andrebakely SudMDG33"
"Andromba","MDG33313194","MDG33","AndrombaMDG33"
"Anororo","MDG33312052","MDG33","AnororoMDG33"
"Anosibe An'ala","MDG33317011","MDG33","Anosibe An'alaMDG33"
"Anosibe Ifody","MDG33314091","MDG33","Anosibe IfodyMDG33"
"Antanandava","MDG33314310","MDG33","AntanandavaMDG33"
"Antanandava","MDG33313193","MDG33","AntanandavaMDG33"
"Antandrokomby","MDG33317051","MDG33","AntandrokombyMDG33"
"Antaniditra","MDG33314292","MDG33","AntaniditraMDG33"
"Antanimenabaka","MDG33316031","MDG33","AntanimenabakaMDG33"
"Antsangasanga","MDG33313112","MDG33","AntsangasangaMDG33"
"Beanana","MDG33312112","MDG33","BeananaMDG33"
"Bedidy","MDG33312012","MDG33","BedidyMDG33"
"Beforona","MDG33314190","MDG33","BeforonaMDG33"
"Bejofo","MDG33313152","MDG33","BejofoMDG33"
"Belavabary","MDG33314130","MDG33","BelavabaryMDG33"
"Bemaitso","MDG33316012","MDG33","BemaitsoMDG33"
"Didy","MDG33313170","MDG33","DidyMDG33"
"Feramanga Nord","MDG33313031","MDG33","Feramanga NordMDG33"
"Fierenana","MDG33314270","MDG33","FierenanaMDG33"
"Ilafy","MDG33313090","MDG33","IlafyMDG33"
"Imerimandroso","MDG33313191","MDG33","ImerimandrosoMDG33"
"Lakato","MDG33314230","MDG33","LakatoMDG33"
"Longozabe","MDG33317071","MDG33","LongozabeMDG33"
"Maitsokely","MDG33316072","MDG33","MaitsokelyMDG33"
"Manakambahiny Andrefana","MDG33313111","MDG33","Manakambahiny AndrefanaMDG33"
"Manakambahiny Antsinanana","MDG33313210","MDG33","Manakambahiny AntsinananaMDG33"
"Mandialaza","MDG33314291","MDG33","MandialazaMDG33"
"Mangarivotra","MDG33314330","MDG33","MangarivotraMDG33"
"Maroadabo","MDG33316051","MDG33","MaroadaboMDG33"
"Marovato","MDG33316052","MDG33","MarovatoMDG33"
"Miarinarivo","MDG33316071","MDG33","MiarinarivoMDG33"
"Moramanga","MDG33314010","MDG33","MoramangaMDG33"
"Morarano Chrome","MDG33312071","MDG33","Morarano ChromeMDG33"
"Morarano Gara","MDG33314110","MDG33","Morarano GaraMDG33"
"Niarovana Marosampanana","MDG33317053","MDG33","Niarovana MarosampananaMDG33"
"Ranomainty","MDG33312072","MDG33","RanomaintyMDG33"
"Sabotsy Anjiro","MDG33314150","MDG33","Sabotsy AnjiroMDG33"
"Sahamamy","MDG33312014","MDG33","SahamamyMDG33"
"Soalazaina","MDG33313231","MDG33","SoalazainaMDG33"
"Tanambao Besakay","MDG33313232","MDG33","Tanambao BesakayMDG33"
"Tanambe","MDG33312111","MDG33","TanambeMDG33"
"Tanananifololahy","MDG33316032","MDG33","TanananifololahyMDG33"
"Tratramarina","MDG33317032","MDG33","TratramarinaMDG33"
"Tsaravinany","MDG33317054","MDG33","TsaravinanyMDG33"
"Vodiriana","MDG33314092","MDG33","VodirianaMDG33"
"Vohimena","MDG33312151","MDG33","VohimenaMDG33"
"Vohitsara","MDG33312113","MDG33","VohitsaraMDG33"
"Ambalabe Befanjava","MDG41415092","MDG41","Ambalabe BefanjavaMDG41"
"Ambalakida","MDG41415031","MDG41","AmbalakidaMDG41"
"Ambarimaninga","MDG41407092","MDG41","AmbarimaningaMDG41"
"Ambato Ambarimay","MDG41405019","MDG41","Ambato AmbarimayMDG41"
"Ambohipaky","MDG41403030","MDG41","AmbohipakyMDG41"
"Ambolomoty","MDG41406051","MDG41","AmbolomotyMDG41"
"Ambondromamy","MDG41405112","MDG41","AmbondromamyMDG41"
"Andranoboka","MDG41415072","MDG41","AndranobokaMDG41"
"Andranofasika","MDG41405052","MDG41","AndranofasikaMDG41"
"Andranomamy","MDG41405150","MDG41","AndranomamyMDG41"
"Andranomavo","MDG41403050","MDG41","AndranomavoMDG41"
"Anjiajia","MDG41405090","MDG41","AnjiajiaMDG41"
"Ankaraobato","MDG41406158","MDG41","AnkaraobatoMDG41"
"Ankazomborona","MDG41406090","MDG41","AnkazomboronaMDG41"
"Ankijabe","MDG41405051","MDG41","AnkijabeMDG41"
"Ankirihitra","MDG41405130","MDG41","AnkirihitraMDG41"
"Anosinalainolona","MDG41406033","MDG41","AnosinalainolonaMDG41"
"Antanambao Andranolava","MDG41406032","MDG41","Antanambao AndranolavaMDG41"
"Antanimasaka","MDG41406112","MDG41","AntanimasakaMDG41"
"Antongomena Bevary","MDG41407030","MDG41","Antongomena BevaryMDG41"
"Antseza","MDG41407012","MDG41","AntsezaMDG41"
"Bekipay","MDG41407091","MDG41","BekipayMDG41"
"Bekobay","MDG41415071","MDG41","BekobayMDG41"
"Belobaka","MDG41415011","MDG41","BelobakaMDG41"
"Bemaharivo","MDG41406130","MDG41","BemaharivoMDG41"
"Betsako","MDG41415032","MDG41","BetsakoMDG41"
"Boanamary","MDG41415012","MDG41","BoanamaryMDG41"
"Katsepy","MDG41407070","MDG41","KatsepyMDG41"
"Madirovalo","MDG41405070","MDG41","MadirovaloMDG41"
"Mahabibo","MDG41401002","MDG41","MahabiboMDG41"
"Mahajamba Usine","MDG41415091","MDG41","Mahajamba UsineMDG41"
"Mahajanga","MDG41401001","MDG41","MahajangaMDG41"
"Manaratsandry","MDG41406111","MDG41","ManaratsandryMDG41"
"Manerinerina","MDG41405170","MDG41","ManerinerinaMDG41"
"Mariarano","MDG41415050","MDG41","MariaranoMDG41"
"Marovoay","MDG41406052","MDG41","MarovoayMDG41"
"Marovoay Banlieue","MDG41406031","MDG41","Marovoay BanlieueMDG41"
"Marovoay Ville","MDG41406010","MDG41","Marovoay VilleMDG41"
"Matsakabanja","MDG41407050","MDG41","MatsakabanjaMDG41"
"Mitsinjo","MDG41407011","MDG41","MitsinjoMDG41"
"Sitampiky","MDG41405190","MDG41","SitampikyMDG41"
"Soalala","MDG41403010","MDG41","SoalalaMDG41"
"Tsaramandroso","MDG41405111","MDG41","TsaramandrosoMDG41"
"Tsararano","MDG41406070","MDG41","TsararanoMDG41"
"Ambalakirajy","MDG42410211","MDG42","AmbalakirajyMDG42"
"Ambalaromba","MDG42414213","MDG42","AmbalarombaMDG42"
"Ambaliha","MDG42411070","MDG42","AmbalihaMDG42"
"Ambanjabe","MDG42409031","MDG42","AmbanjabeMDG42"
"Ambararata","MDG42412150","MDG42","AmbararataMDG42"
"Ambararata Sofia","MDG42414172","MDG42","Ambararata SofiaMDG42"
"Ambararatabe Nord","MDG42414152","MDG42","Ambararatabe NordMDG42"
"Ambarijeby Sud","MDG42411012","MDG42","Ambarijeby SudMDG42"
"Ambarikorano","MDG42410171","MDG42","AmbarikoranoMDG42"
"Ambaripaika","MDG42410191","MDG42","AmbaripaikaMDG42"
"Ambatoriha Est","MDG42414090","MDG42","Ambatoriha EstMDG42"
"Ambatosia","MDG42414071","MDG42","AmbatosiaMDG42"
"Ambilombe","MDG42410270","MDG42","AmbilombeMDG42"
"Amboaboa","MDG42410130","MDG42","AmboaboaMDG42"
"Ambodiadabo","MDG42410391","MDG42","AmbodiadaboMDG42"
"Ambodiadabo M","MDG42414211","MDG42","Ambodiadabo MMDG42"
"Ambodiamontana Kianga","MDG42410192","MDG42","Ambodiamontana KiangaMDG42"
"Ambodiampana","MDG42414072","MDG42","AmbodiampanaMDG42"
"Ambodihazoambo","MDG42423112","MDG42","AmbodihazoamboMDG42"
"Ambodimadiro","MDG42413171","MDG42","AmbodimadiroMDG42"
"Ambodimahabibo","MDG42409171","MDG42","AmbodimahabiboMDG42"
"Ambodimanary","MDG42413130","MDG42","AmbodimanaryMDG42"
"Ambodimandresy","MDG42413090","MDG42","AmbodimandresyMDG42"
"Ambodimotso Sud","MDG42412050","MDG42","Ambodimotso SudMDG42"
"Ambodisakoana","MDG42409112","MDG42","AmbodisakoanaMDG42"
"Ambodisikidy","MDG42414171","MDG42","AmbodisikidyMDG42"
"Ambodivongo","MDG42409172","MDG42","AmbodivongoMDG42"
"Ambohisoa","MDG42410330","MDG42","AmbohisoaMDG42"
"Ambohitoaka","MDG42423051","MDG42","AmbohitoakaMDG42"
"Ambolidibe Est","MDG42412170","MDG42","Ambolidibe EstMDG42"
"Ambolobozo","MDG42411030","MDG42","AmbolobozoMDG42"
"Amborondolo","MDG42410392","MDG42","AmborondoloMDG42"
"Ambovonomby","MDG42414110","MDG42","AmbovonombyMDG42"
"Ampandriankilandy","MDG42413051","MDG42","AmpandriankilandyMDG42"
"Amparihy","MDG42409092","MDG42","AmparihyMDG42"
"Ampasimatera","MDG42423111","MDG42","AmpasimateraMDG42"
"Ampatakamaroreny","MDG42410350","MDG42","AmpatakamarorenyMDG42"
"Anahidrano","MDG42413070","MDG42","AnahidranoMDG42"
"Analalava","MDG42411011","MDG42","AnalalavaMDG42"
"Analila","MDG42414131","MDG42","AnalilaMDG42"
"Andohajango","MDG42410290","MDG42","AndohajangoMDG42"
"Andranomeva","MDG42409091","MDG42","AndranomevaMDG42"
"Andratamarina","MDG42410172","MDG42","AndratamarinaMDG42"
"Andreba","MDG42413172","MDG42","AndrebaMDG42"
"Andribavontsona","MDG42411131","MDG42","AndribavontsonaMDG42"
"Angoaka Sud","MDG42411132","MDG42","Angoaka SudMDG42"
"Anjalazala","MDG42413052","MDG42","AnjalazalaMDG42"
"Anjiabe","MDG42410310","MDG42","AnjiabeMDG42"
"Anjiamangirana","MDG42413110","MDG42","AnjiamangiranaMDG42"
"Anjozoromadosy","MDG42414132","MDG42","AnjozoromadosyMDG42"
"Ankaramy","MDG42411170","MDG42","AnkaramyMDG42"
"Ankarongana","MDG42412190","MDG42","AnkaronganaMDG42"
"Ankazotokana","MDG42414212","MDG42","AnkazotokanaMDG42"
"Ankerika","MDG42413030","MDG42","AnkerikaMDG42"
"Ankiabe-Salohy","MDG42410371","MDG42","Ankiabe-SalohyMDG42"
"Ankiakabe-Fonoko","MDG42410232","MDG42","Ankiakabe-FonokoMDG42"
"Ankiririky","MDG42423052","MDG42","AnkiririkyMDG42"
"Antanambaon'amberina","MDG42410410","MDG42","Antanambaon'amberinaMDG42"
"Antanandava","MDG42410030","MDG42","AntanandavaMDG42"
"Antananivo Haut","MDG42414032","MDG42","Antananivo HautMDG42"
"Antonibe","MDG42411190","MDG42","AntonibeMDG42"
"Antsahabe","MDG42413150","MDG42","AntsahabeMDG42"
"Antsakabary","MDG42412210","MDG42","AntsakabaryMDG42"
"Antsakanalabe","MDG42412130","MDG42","AntsakanalabeMDG42"
"Antsamaka","MDG42414050","MDG42","AntsamakaMDG42"
"Antsatramidola","MDG42410231","MDG42","AntsatramidolaMDG42"
"Antsiatsiaka","MDG42410112","MDG42","AntsiatsiakaMDG42"
"Antsirabe Centre","MDG42410111","MDG42","Antsirabe CentreMDG42"
"Antsoha","MDG42410050","MDG42","AntsohaMDG42"
"Antsohihy","MDG42413010","MDG42","AntsohihyMDG42"
"Bealanana","MDG42414010","MDG42","BealananaMDG42"
"Beandrarezona","MDG42414031","MDG42","BeandrarezonaMDG42"
"Befandriana Nord","MDG42412010","MDG42","Befandriana NordMDG42"
"Befotaka Nord","MDG42411050","MDG42","Befotaka NordMDG42"
"Bekoratsaka","MDG42423071","MDG42","BekoratsakaMDG42"
"Betaramahamay","MDG42423073","MDG42","BetaramahamayMDG42"
"Kalandy","MDG42410090","MDG42","KalandyMDG42"
"Komajia","MDG42423090","MDG42","KomajiaMDG42"
"Leanja","MDG42409111","MDG42","LeanjaMDG42"
"Maevaranohely","MDG42409132","MDG42","MaevaranohelyMDG42"
"Mahadrodroka","MDG42411210","MDG42","MahadrodrokaMDG42"
"Malakialina","MDG42423072","MDG42","MalakialinaMDG42"
"Mampikony I","MDG42423010","MDG42","Mampikony IMDG42"
"Mampikony II","MDG42423030","MDG42","Mampikony IIMDG42"
"Manampaneva","MDG42410150","MDG42","ManampanevaMDG42"
"Mandritsara","MDG42410010","MDG42","MandritsaraMDG42"
"Mangindrano","MDG42414151","MDG42","MangindranoMDG42"
"Maroala","MDG42413190","MDG42","MaroalaMDG42"
"Maroamalona","MDG42412090","MDG42","MaroamalonaMDG42"
"Maromandia","MDG42411090","MDG42","MaromandiaMDG42"
"Marotandrano","MDG42410250","MDG42","MarotandranoMDG42"
"Marotolana","MDG42414190","MDG42","MarotolanaMDG42"
"Marovantaza","MDG42411150","MDG42","MarovantazaMDG42"
"Marovato","MDG42409150","MDG42","MarovatoMDG42"
"Marovatolena","MDG42411110","MDG42","MarovatolenaMDG42"
"Matsondakana","MDG42412230","MDG42","MatsondakanaMDG42"
"Morafeno","MDG42412030","MDG42","MorafenoMDG42"
"Pont Sofia","MDG42410372","MDG42","Pont SofiaMDG42"
"Port Berge","MDG42409010","MDG42","Port BergeMDG42"
"Port Berge II","MDG42409190","MDG42","Port Berge IIMDG42"
"Tsarahasina","MDG42409050","MDG42","TsarahasinaMDG42"
"Tsarahonenana","MDG42412110","MDG42","TsarahonenanaMDG42"
"Tsarajomoka","MDG42410212","MDG42","TsarajomokaMDG42"
"Tsaratanana","MDG42410070","MDG42","TsaratananaMDG42"
"Tsaratanana I","MDG42409032","MDG42","Tsaratanana IMDG42"
"Tsiamalao","MDG42412070","MDG42","TsiamalaoMDG42"
"Tsiningia","MDG42409070","MDG42","TsiningiaMDG42"
"Tsinjomitondraka","MDG42409131","MDG42","TsinjomitondrakaMDG42"
"Ambakireny","MDG43408170","MDG43","AmbakirenyMDG43"
"Ambalajia","MDG43404112","MDG43","AmbalajiaMDG43"
"Ambalanjanakomby","MDG43404131","MDG43","AmbalanjanakombyMDG43"
"Ambaliha","MDG43416012","MDG43","AmbalihaMDG43"
"Ampandrana","MDG43408130","MDG43","AmpandranaMDG43"
"Andasibe","MDG43416052","MDG43","AndasibeMDG43"
"Andriamena","MDG43408150","MDG43","AndriamenaMDG43"
"Andriba","MDG43404171","MDG43","AndribaMDG43"
"Antanimbaribe","MDG43416030","MDG43","AntanimbaribeMDG43"
"Antanimbary","MDG43404092","MDG43","AntanimbaryMDG43"
"Antsiafabositra","MDG43404091","MDG43","AntsiafabositraMDG43"
"Behazomaty","MDG43416013","MDG43","BehazomatyMDG43"
"Bekapaika","MDG43408030","MDG43","BekapaikaMDG43"
"Bemokotra","MDG43404050","MDG43","BemokotraMDG43"
"Beratsimanina","MDG43404032","MDG43","BeratsimaninaMDG43"
"Betaimboay","MDG43416051","MDG43","BetaimboayMDG43"
"Betrandraka","MDG43408070","MDG43","BetrandrakaMDG43"
"Brieville","MDG43408190","MDG43","BrievilleMDG43"
"Kandreho","MDG43416011","MDG43","KandrehoMDG43"
"Keliloha","MDG43408090","MDG43","KelilohaMDG43"
"Madiromirafy","MDG43404192","MDG43","MadiromirafyMDG43"
"Maevatanana I","MDG43404010","MDG43","Maevatanana IMDG43"
"Maevatanana II","MDG43404031","MDG43","Maevatanana IIMDG43"
"Mahatsinjo","MDG43404172","MDG43","MahatsinjoMDG43"
"Mahazoma","MDG43404070","MDG43","MahazomaMDG43"
"Manakana","MDG43408230","MDG43","ManakanaMDG43"
"Mangabe","MDG43404191","MDG43","MangabeMDG43"
"Maria","MDG43404150","MDG43","MariaMDG43"
"Marokoro","MDG43404132","MDG43","MarokoroMDG43"
"Morafeno","MDG43404173","MDG43","MorafenoMDG43"
"Sakoamadinika","MDG43408210","MDG43","SakoamadinikaMDG43"
"Sarobaratra","MDG43408110","MDG43","SarobaratraMDG43"
"Tsararano","MDG43404111","MDG43","TsararanoMDG43"
"Tsararova","MDG43408050","MDG43","TsararovaMDG43"
"Tsaratanana","MDG43408010","MDG43","TsaratananaMDG43"
"Ambatomainty","MDG44417011","MDG44","AmbatomaintyMDG44"
"Ambolodia Sud","MDG44402072","MDG44","Ambolodia SudMDG44"
"Ampako","MDG44402012","MDG44","AmpakoMDG44"
"Andabotoka","MDG44421050","MDG44","AndabotokaMDG44"
"Andramy","MDG44422030","MDG44","AndramyMDG44"
"Andranovao","MDG44421194","MDG44","AndranovaoMDG44"
"Andrea","MDG44421090","MDG44","AndreaMDG44"
"Ankasakasa Tsibiray","MDG44402090","MDG44","Ankasakasa TsibirayMDG44"
"Ankisatra","MDG44421110","MDG44","AnkisatraMDG44"
"Antsaidoha Bebao","MDG44421210","MDG44","Antsaidoha BebaoMDG44"
"Antsalova","MDG44420010","MDG44","AntsalovaMDG44"
"Antsondrodava","MDG44421150","MDG44","AntsondrodavaMDG44"
"Bebaboky Sud","MDG44421232","MDG44","Bebaboky SudMDG44"
"Bekodoka","MDG44402071","MDG44","BekodokaMDG44"
"Bekopaka","MDG44420090","MDG44","BekopakaMDG44"
"Belitsaky","MDG44421170","MDG44","BelitsakyMDG44"
"Bemarivo","MDG44417012","MDG44","BemarivoMDG44"
"Bemokotra Sud","MDG44421233","MDG44","Bemokotra SudMDG44"
"Beravina","MDG44422050","MDG44","BeravinaMDG44"
"Berevo/ranobe","MDG44421231","MDG44","Berevo/ranobeMDG44"
"Besalampy","MDG44402011","MDG44","BesalampyMDG44"
"Betanatanana","MDG44421070","MDG44","BetanatananaMDG44"
"Mafaijijo","MDG44421030","MDG44","MafaijijoMDG44"
"Mahabe","MDG44402110","MDG44","MahabeMDG44"
"Maintirano","MDG44421010","MDG44","MaintiranoMDG44"
"Marohazo","MDG44421130","MDG44","MarohazoMDG44"
"Maromavo","MDG44421193","MDG44","MaromavoMDG44"
"Marotsialeha","MDG44417032","MDG44","MarotsialehaMDG44"
"Marovoay Sud","MDG44402030","MDG44","Marovoay SudMDG44"
"Masoarivo","MDG44420050","MDG44","MasoarivoMDG44"
"Morafenobe","MDG44422010","MDG44","MorafenobeMDG44"
"Sarodrano","MDG44417031","MDG44","SarodranoMDG44"
"Soahany","MDG44420030","MDG44","SoahanyMDG44"
"Soanenga","MDG44402050","MDG44","SoanengaMDG44"
"Tambohorano","MDG44421191","MDG44","TambohoranoMDG44"
"Trangahy","MDG44420070","MDG44","TrangahyMDG44"
"Veromanga","MDG44421192","MDG44","VeromangaMDG44"
"Ambahikily","MDG51504050","MDG51","AmbahikilyMDG51"
"Ambalavato","MDG51521032","MDG51","AmbalavatoMDG51"
"Ambatry Mitsinjo","MDG51506013","MDG51","Ambatry MitsinjoMDG51"
"Ambinany","MDG51512150","MDG51","AmbinanyMDG51"
"Ambohimahavelona","MDG51520111","MDG51","AmbohimahavelonaMDG51"
"Ambolofoty","MDG51520150","MDG51","AmbolofotyMDG51"
"Amborompotsy","MDG51507050","MDG51","AmborompotsyMDG51"
"Amboronabo","MDG51512070","MDG51","AmboronaboMDG51"
"Ampanihy Ouest","MDG51507010","MDG51","Ampanihy OuestMDG51"
"Anakao","MDG51520132","MDG51","AnakaoMDG51"
"Analamisampy","MDG51520330","MDG51","AnalamisampyMDG51"
"Andamasiny Vineta","MDG51512111","MDG51","Andamasiny VinetaMDG51"
"Andranohinaly","MDG51520112","MDG51","AndranohinalyMDG51"
"Andranolava","MDG51512130","MDG51","AndranolavaMDG51"
"Andranomafana","MDG51505050","MDG51","AndranomafanaMDG51"
"Andranomangatsiaka","MDG51506191","MDG51","AndranomangatsiakaMDG51"
"Andranovory","MDG51520270","MDG51","AndranovoryMDG51"
"Androka","MDG51507230","MDG51","AndrokaMDG51"
"Ankazoabo Sud","MDG51505011","MDG51","Ankazoabo SudMDG51"
"Ankazomanga Ouest","MDG51506014","MDG51","Ankazomanga OuestMDG51"
"Ankazombalala","MDG51506130","MDG51","AnkazombalalaMDG51"
"Ankiliabo","MDG51507030","MDG51","AnkiliaboMDG51"
"Ankililoaka","MDG51520310","MDG51","AnkililoakaMDG51"
"Ankilimalinike","MDG51520170","MDG51","AnkilimalinikeMDG51"
"Ankilimivory","MDG51507130","MDG51","AnkilimivoryMDG51"
"Ankilivalo","MDG51506192","MDG51","AnkilivaloMDG51"
"Ankilizato","MDG51507070","MDG51","AnkilizatoMDG51"
"Antaly","MDG51507110","MDG51","AntalyMDG51"
"Antanimena Onilahy","MDG51520191","MDG51","Antanimena OnilahyMDG51"
"Antanimieva","MDG51504130","MDG51","AntanimievaMDG51"
"Antohabato","MDG51506070","MDG51","AntohabatoMDG51"
"Antongo Vaovao","MDG51504070","MDG51","Antongo VaovaoMDG51"
"Antsavoa","MDG51506312","MDG51","AntsavoaMDG51"
"Basibasy","MDG51504150","MDG51","BasibasyMDG51"
"Beahitse","MDG51507190","MDG51","BeahitseMDG51"
"Beantake","MDG51506030","MDG51","BeantakeMDG51"
"Befandefa","MDG51504030","MDG51","BefandefaMDG51"
"Befandriana Sud","MDG51504110","MDG51","Befandriana SudMDG51"
"Beheloka","MDG51520358","MDG51","BehelokaMDG51"
"Behisatsy","MDG51503050","MDG51","BehisatsyMDG51"
"Behompy","MDG51520072","MDG51","BehompyMDG51"
"Belafike Haut","MDG51507170","MDG51","Belafike HautMDG51"
"Belalanda","MDG51520030","MDG51","BelalandaMDG51"
"Belamoty","MDG51506311","MDG51","BelamotyMDG51"
"Bemavo","MDG51503012","MDG51","BemavoMDG51"
"Benenitra","MDG51521010","MDG51","BenenitraMDG51"
"Bereketa","MDG51512090","MDG51","BereketaMDG51"
"Berenty","MDG51505071","MDG51","BerentyMDG51"
"Beroroha","MDG51503011","MDG51","BerorohaMDG51"
"Beroy Atsimo","MDG51507270","MDG51","Beroy AtsimoMDG51"
"Besakoa","MDG51501006","MDG51","BesakoaMDG51"
"Besely","MDG51506112","MDG51","BeselyMDG51"
"Betania","MDG51501005","MDG51","BetaniaMDG51"
"Betioky Atsimo","MDG51506011","MDG51","Betioky AtsimoMDG51"
"Betsinjaka","MDG51520050","MDG51","BetsinjakaMDG51"
"Bezaha","MDG51506150","MDG51","BezahaMDG51"
"Cu Morombe","MDG51504010","MDG51","Cu MorombeMDG51"
"Ehara","MDG51521050","MDG51","EharaMDG51"
"Ejeda","MDG51507150","MDG51","EjedaMDG51"
"Fanjakana","MDG51503030","MDG51","FanjakanaMDG51"
"Fenoandala","MDG51506230","MDG51","FenoandalaMDG51"
"Fotadrevo","MDG51507290","MDG51","FotadrevoMDG51"
"Fotivolo","MDG51505012","MDG51","FotivoloMDG51"
"Gogogogo","MDG51507210","MDG51","GogogogoMDG51"
"Ianapera","MDG51521031","MDG51","IanaperaMDG51"
"Ilemby","MDG51505072","MDG51","IlembyMDG51"
"Itampolo","MDG51507310","MDG51","ItampoloMDG51"
"Lazarivo","MDG51506330","MDG51","LazarivoMDG51"
"Mahaboboka","MDG51512050","MDG51","MahabobokaMDG51"
"Mahavatse I","MDG51501003","MDG51","Mahavatse IMDG51"
"Mahavatse II","MDG51501004","MDG51","Mahavatse IIMDG51"
"Manalobe","MDG51506170","MDG51","ManalobeMDG51"
"Mandronarivo","MDG51503091","MDG51","MandronarivoMDG51"
"Maniry","MDG51507090","MDG51","ManiryMDG51"
"Manombo Sud","MDG51520250","MDG51","Manombo SudMDG51"
"Manorofify","MDG51520192","MDG51","ManorofifyMDG51"
"Marerano","MDG51503070","MDG51","MareranoMDG51"
"Maroarivo Ankazomanga","MDG51506015","MDG51","Maroarivo AnkazomangaMDG51"
"Marofoty","MDG51520210","MDG51","MarofotyMDG51"
"Maromiandra","MDG51520090","MDG51","MaromiandraMDG51"
"Marosavoa","MDG51506252","MDG51","MarosavoaMDG51"
"Masiaboay","MDG51506050","MDG51","MasiaboayMDG51"
"Miary Ambohibola","MDG51520071","MDG51","Miary AmbohibolaMDG51"
"Miary Lamatihy","MDG51512030","MDG51","Miary LamatihyMDG51"
"Miary Taheza","MDG51512012","MDG51","Miary TahezaMDG51"
